Species,Geolocation,Year,Quarter,Value,Volume
Spiny Lobster,Region XII (SOCCSKSARGEN),2020, Quarter 1,361.97,0.3633333333333333
Spiny Lobster,Region XIII (Caraga),2020, Quarter 1,963.38,0.58
Spiny Lobster,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020, Quarter 1,117.0,0.08
Carp,National Capital Region (NCR),2020, Quarter 1,156.53333333333333,1.63
Carp,Cordillera Administrative Region (CAR),2020, Quarter 1,3.22,0.02
Carp,Region I (Ilocos Region),2020, Quarter 1,43.08,0.76
Carp,Region II (Cagayan Valley),2020, Quarter 1,56.12,0.59
Carp,Region III (Central Luzon),2020, Quarter 1,349.68,10.42
Carp,Region IV-A (CALABARZON),2020, Quarter 1,39697.21,1008.29
Carp,MIMAROPA Region,2020, Quarter 1,23.87,0.2733333333333334
Carp,Region V (Bicol Region),2020, Quarter 1,125.0,2.5
Carp,Region VI (Western Visayas),2020, Quarter 1,3.0,0.03
Carp,Region VII (Central Visayas),2020, Quarter 1,2.2,0.02
Carp,Region VIII (Eastern Visayas),2020, Quarter 1,102.57333333333332,0.82
Carp,Region IX (Zamboanga Peninsula),2020, Quarter 1,5.64,0.09
Carp,Region X (Nothern Mindanao),2020, Quarter 1,287.52,2.33
Carp,Region XI (Davao Region),2020, Quarter 1,164.29,2.03
Carp,Region XII (SOCCSKSARGEN),2020, Quarter 1,26.76,0.32
Carp,Region XIII (Caraga),2020, Quarter 1,7.1,0.08
Carp,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020, Quarter 1,1069.6,10.113333333333333
Catfish,National Capital Region (NCR),2020, Quarter 1,163.31000000000003,6.703333333333333
Catfish,Cordillera Administrative Region (CAR),2020, Quarter 1,1069.6,10.113333333333333
Catfish,Region I (Ilocos Region),2020, Quarter 1,421.54,4.09
Catfish,Region II (Cagayan Valley),2020, Quarter 1,2834.92,27.72
Catfish,Region III (Central Luzon),2020, Quarter 1,63479.56,667.06
Catfish,Region IV-A (CALABARZON),2020, Quarter 1,3929.42,47.35
Catfish,MIMAROPA Region,2020, Quarter 1,4.98,0.04
Catfish,Region V (Bicol Region),2020, Quarter 1,605.0,5.5
Catfish,Region VI (Western Visayas),2020, Quarter 1,17185.69,131.8
Catfish,Region VII (Central Visayas),2020, Quarter 1,4.62,0.05
Catfish,Region VIII (Eastern Visayas),2020, Quarter 1,18.0,0.11
Catfish,Region IX (Zamboanga Peninsula),2020, Quarter 1,4.76,0.07
Catfish,Region X (Nothern Mindanao),2020, Quarter 1,23.15,0.32
Catfish,Region XI (Davao Region),2020, Quarter 1,29481.26,236.33
Catfish,Region XII (SOCCSKSARGEN),2020, Quarter 1,7731.16,63.31
Catfish,Region XIII (Caraga),2020, Quarter 1,2.4,0.03
Catfish,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020, Quarter 1,3200.6,30.28
Gourami,National Capital Region (NCR),2020, Quarter 1,112.71,0.6900000000000001
Gourami,Cordillera Administrative Region (CAR),2020, Quarter 1,4261.493333333333,35.376666666666665
Gourami,Region I (Ilocos Region),2020, Quarter 1,91.05,1.46
Gourami,Region II (Cagayan Valley),2020, Quarter 1,0.93,0.01
Gourami,Region III (Central Luzon),2020, Quarter 1,231.56,5.61
Gourami,Region IV-A (CALABARZON),2020, Quarter 1,861.0600000000001,3.323333333333333
Gourami,MIMAROPA Region,2020, Quarter 1,4280.9366666666665,35.846666666666664
Gourami,Region V (Bicol Region),2020, Quarter 1,2287.47,4.296666666666667
Gourami,Region VI (Western Visayas),2020, Quarter 1,2262.5633333333335,4.3500000000000005
Gourami,Region VII (Central Visayas),2020, Quarter 1,22.419999999999998,4.223333333333334
Gourami,Region VIII (Eastern Visayas),2020, Quarter 1,22.42,0.03666666666666667
Gourami,Region IX (Zamboanga Peninsula),2020, Quarter 1,824.7666666666668,0.11333333333333334
Gourami,Region X (Nothern Mindanao),2020, Quarter 1,3.376666666666667,0.02
Gourami,Region XI (Davao Region),2020, Quarter 1,4.65,0.04
Gourami,Region XII (SOCCSKSARGEN),2020, Quarter 1,12.45,0.2
Gourami,Region XIII (Caraga),2020, Quarter 1,9.273333333333333,0.07666666666666667
Gourami,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020, Quarter 1,30821.983333333337,314.01
Mudfish,National Capital Region (NCR),2020, Quarter 1,1012.1800000000002,18.51666666666667
Mudfish,Cordillera Administrative Region (CAR),2020, Quarter 1,1041.256666666667,2.603333333333333
Mudfish,Region I (Ilocos Region),2020, Quarter 1,1171.89,11.98
Mudfish,Region II (Cagayan Valley),2020, Quarter 1,386.17,3.63
Mudfish,Region III (Central Luzon),2020, Quarter 1,4434.18,42.08
Mudfish,Region IV-A (CALABARZON),2020, Quarter 1,1.68,0.01
Mudfish,MIMAROPA Region,2020, Quarter 1,0.44,0.01
Mudfish,Region V (Bicol Region),2020, Quarter 1,3.0,0.03
Mudfish,Region VI (Western Visayas),2020, Quarter 1,1.74,0.01
Mudfish,Region VII (Central Visayas),2020, Quarter 1,11.66,0.1
Mudfish,Region VIII (Eastern Visayas),2020, Quarter 1,0.3,0.0
Mudfish,Region IX (Zamboanga Peninsula),2020, Quarter 1,802.68,11.47
Mudfish,Region X (Nothern Mindanao),2020, Quarter 1,415.08,3.97
Mudfish,Region XI (Davao Region),2020, Quarter 1,206.82,1.9
Mudfish,Region XII (SOCCSKSARGEN),2020, Quarter 1,1176.06,13.47
Mudfish,Region XIII (Caraga),2020, Quarter 1,6.19,0.08
Mudfish,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020, Quarter 1,31503.873333333337,316.45666666666665
Freshwater Prawn,National Capital Region (NCR),2020, Quarter 1,51.54666666666666,5.8133333333333335
Freshwater Prawn,Cordillera Administrative Region (CAR),2020, Quarter 1,48.26333333333333,10.276666666666667
Freshwater Prawn,Region I (Ilocos Region),2020, Quarter 1,0.18,0.0
Freshwater Prawn,Region II (Cagayan Valley),2020, Quarter 1,20.14,0.05
Freshwater Prawn,Region III (Central Luzon),2020, Quarter 1,95.54333333333334,0.06
Freshwater Prawn,Region IV-A (CALABARZON),2020, Quarter 1,9.32,0.02
Freshwater Prawn,MIMAROPA Region,2020, Quarter 1,46.629999999999995,0.18333333333333335
Freshwater Prawn,Region V (Bicol Region),2020, Quarter 1,908.8533333333335,5.3933333333333335
Freshwater Prawn,Region VI (Western Visayas),2020, Quarter 1,56.52,0.38
Freshwater Prawn,Region VII (Central Visayas),2020, Quarter 1,0.76,0.0
Freshwater Prawn,Region VIII (Eastern Visayas),2020, Quarter 1,227.51333333333332,1.4766666666666668
Freshwater Prawn,Region IX (Zamboanga Peninsula),2020, Quarter 1,10.4,0.06
Freshwater Prawn,Region X (Nothern Mindanao),2020, Quarter 1,228.80999999999997,1.4566666666666668
Freshwater Prawn,Region XI (Davao Region),2020, Quarter 1,0.98,0.01
Freshwater Prawn,Region XII (SOCCSKSARGEN),2020, Quarter 1,0.37,0.01
Freshwater Prawn,Region XIII (Caraga),2020, Quarter 1,5.073333333333333,0.08
Freshwater Prawn,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020, Quarter 1,1089.6966666666665,10.200000000000001
Others,National Capital Region (NCR),2020, Quarter 1,4563.49,153.25
Others,Cordillera Administrative Region (CAR),2020, Quarter 1,408.47333333333336,40.406666666666666
Others,Region I (Ilocos Region),2020, Quarter 1,287.67,4.33
Others,Region II (Cagayan Valley),2020, Quarter 1,60.75,0.65
Others,Region III (Central Luzon),2020, Quarter 1,18080.07,74.58
Others,Region IV-A (CALABARZON),2020, Quarter 1,12538.963333333333,202.64666666666665
Others,MIMAROPA Region,2020, Quarter 1,223.64,0.24
Others,Region V (Bicol Region),2020, Quarter 1,1072.5,8.18
Others,Region VI (Western Visayas),2020, Quarter 1,617.9,4.9
Others,Region VII (Central Visayas),2020, Quarter 1,1096.41,2.21
Others,Region VIII (Eastern Visayas),2020, Quarter 1,0.54,0.0
Others,Region IX (Zamboanga Peninsula),2020, Quarter 1,237.66,0.54
Others,Region X (Nothern Mindanao),2020, Quarter 1,260.76,1.6866666666666668
Others,Region XI (Davao Region),2020, Quarter 1,684.14,3.35
Others,Region XII (SOCCSKSARGEN),2020, Quarter 1,4.83,0.09
Others,Region XIII (Caraga),2020, Quarter 1,9543.22,14.73
Others,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020, Quarter 1,2.75,0.03
Oyster,National Capital Region (NCR),2020, Quarter 1,4262.503333333333,123.27333333333333
Oyster,Cordillera Administrative Region (CAR),2020, Quarter 1,811.4433333333333,2.1933333333333334
Oyster,Region I (Ilocos Region),2020, Quarter 1,6401.75,212.24
Oyster,Region II (Cagayan Valley),2020, Quarter 1,644.75,54.41
Oyster,Region III (Central Luzon),2020, Quarter 1,1248.46,38.41
Oyster,Region IV-A (CALABARZON),2020, Quarter 1,2651.76,63.91
Oyster,MIMAROPA Region,2020, Quarter 1,2331.69,53.26666666666667
Oyster,Region V (Bicol Region),2020, Quarter 1,9628.663333333334,572.8633333333333
Oyster,Region VI (Western Visayas),2020, Quarter 1,25619.68,1587.28
Oyster,Region VII (Central Visayas),2020, Quarter 1,3525.96,228.96
Oyster,Region VIII (Eastern Visayas),2020, Quarter 1,17.0,0.85
Oyster,Region IX (Zamboanga Peninsula),2020, Quarter 1,2193.81,123.13
Oyster,Region X (Nothern Mindanao),2020, Quarter 1,57.94666666666666,2.956666666666667
Oyster,Region XI (Davao Region),2020, Quarter 1,76.63,7.66
Oyster,Region XII (SOCCSKSARGEN),2020, Quarter 1,98619.85333333333,458.41
Oyster,Region XIII (Caraga),2020, Quarter 1,3811.1166666666663,462.92
Oyster,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020, Quarter 1,410032.31,70462.34999999999
Mussel,National Capital Region (NCR),2020, Quarter 1,1864.21,43.56
Mussel,Cordillera Administrative Region (CAR),2020, Quarter 1,408.47333333333336,40.406666666666666
Mussel,Region I (Ilocos Region),2020, Quarter 1,81.55,2.33
Mussel,Region II (Cagayan Valley),2020, Quarter 1,173.9666666666667,2.2600000000000002
Mussel,Region III (Central Luzon),2020, Quarter 1,379.6,3.8
Mussel,Region IV-A (CALABARZON),2020, Quarter 1,19299.16,543.49
Mussel,MIMAROPA Region,2020, Quarter 1,999.03,120.95
Mussel,Region V (Bicol Region),2020, Quarter 1,1059.17,29.37
Mussel,Region VI (Western Visayas),2020, Quarter 1,53366.09,3529.83
Mussel,Region VII (Central Visayas),2020, Quarter 1,30964.829999999998,712.2166666666667
Mussel,Region VIII (Eastern Visayas),2020, Quarter 1,38431.99,2134.34
Mussel,Region IX (Zamboanga Peninsula),2020, Quarter 1,6865.329999999999,13.793333333333335
Mussel,Region X (Nothern Mindanao),2020, Quarter 1,97.6,1.71
Mussel,Region XI (Davao Region),2020, Quarter 1,329.52,2.32
Mussel,Region XII (SOCCSKSARGEN),2020, Quarter 1,462.56999999999994,9.43
